Vendite	Scontrini	Vendite.1	Scontrini.1	Vendite.2	Scontrini.2	Vendite.3	Scontrini.3	Vendite.4	Scontrini.4	Vendite.5	Scontrini.5	Giorno	day	month	year	newdate
5288.03	678.0	6547.24	729.0			2584.65	645.0	5428.18	778.0				29	6	2017	2017-06-29
6238.29	783.0	7985.32	942.0			3169.07	698.0	6562.13	883.0				30	6	2017	2017-06-30
11188.97	1550.0	10634.34	1188.0			3531.81	752.0	8600.97	1204.0				1	7	2017	2017-07-01
8408.93	1035.0	7521.77	801.0			2624.21	556.0	6406.76	872.0				2	7	2017	2017-07-02
4813.60	712.0	5698.94	671.0			2625.10	668.0	4537.72	725.0				3	7	2017	2017-07-03
4590.42	670.0	6786.12	762.0			2331.92	596.0	4869.00	747.0				4	7	2017	2017-07-04
5925.30	874.0	5307.62	664.0			2962.00	731.0	5235.30	883.0				5	7	2017	2017-07-05
5064.13	710.0	6369.93	725.0			2693.68	687.0	4815.92	768.0				6	7	2017	2017-07-06
5981.86	796.0	7366.28	878.0			2567.78	667.0	6304.47	892.0				7	7	2017	2017-07-07
9180.77	1122.0	7999.14	892.0			3137.24	716.0	7070.25	974.0				8	7	2017	2017-07-08
8593.49	951.0	7488.65	756.0			2736.63	633.0	6353.83	800.0				9	7	2017	2017-07-09
5357.91	825.0	6324.08	707.0			2856.06	682.0	4651.50	722.0				10	7	2017	2017-07-10
5322.69	762.0	6396.41	707.0			2593.99	594.0	5351.68	864.0				11	7	2017	2017-07-11
5429.47	785.0	6575.85	723.0			2790.29	658.0	5272.69	803.0				12	7	2017	2017-07-12
5445.55	707.0	5585.33	655.0			2603.35	625.0	5134.33	773.0				13	7	2017	2017-07-13
6044.96	796.0	8380.74	900.0			3008.87	677.0	7078.11	891.0				14	7	2017	2017-07-14
8305.67	1090.0	9016.17	967.0			3428.42	779.0	7885.69	1027.0				15	7	2017	2017-07-15
6844.05	814.0	8063.54	771.0			2954.92	610.0	5888.58	775.0				16	7	2017	2017-07-16
5066.45	675.0	6269.94	691.0			2730.76	647.0	5058.60	748.0				17	7	2017	2017-07-17
4633.93	644.0	5357.81	638.0			2596.66	640.0	4951.19	794.0				18	7	2017	2017-07-18
4848.68	646.0	6300.82	721.0			2733.99	656.0	4999.83	779.0				19	7	2017	2017-07-19
4595.96	657.0	6531.01	758.0			2563.92	635.0	6355.69	917.0				20	7	2017	2017-07-20
6041.66	786.0	7941.09	887.0			3245.33	702.0	6745.96	959.0				21	7	2017	2017-07-21
8420.88	1069.0	8588.75	893.0			3431.52	789.0	7424.66	935.0				22	7	2017	2017-07-22
7168.71	891.0	7528.19	779.0			2841.00	584.0	6228.01	791.0				23	7	2017	2017-07-23
5388.65	741.0	6561.17	680.0			2447.18	575.0	5048.40	770.0				24	7	2017	2017-07-24
5153.86	694.0	5599.95	653.0			2562.59	637.0	4944.03	784.0				25	7	2017	2017-07-25
4928.17	665.0	6683.85	747.0			2709.42	676.0	6025.03	852.0				26	7	2017	2017-07-26
4702.18	653.0	6466.87	663.0			2359.18	551.0	5681.55	843.0				27	7	2017	2017-07-27
5788.39	872.0	7788.87	923.0			2659.42	638.0	6213.48	987.0				28	7	2017	2017-07-28
8161.30	1111.0	9604.37	962.0			3315.08	722.0	8013.84	1064.0				29	7	2017	2017-07-29
